District,Building Type,Rooms,Area,Floor,Renovation,Price
Շենգավիթ,Քարե,3,50,1,Կապիտալ,64000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",2,70,3,Զրոյական վիճակ,150000.0
Մալաթիա Սեբաստիա,Պանելային,3,100,7,Պետական վիճակ,115000.0
Մալաթիա Սեբաստիա,Պանելային,1,45,1,Կապիտալ,67000.0
Քանաքեռ Զեյթուն,Կասետային,2,52,4,Նորմալ վիճակ,68000.0
Մալաթիա Սեբաստիա,Պանելային,1,45,2,Նորմալ վիճակ,62000.0
Կենտրոն,Պանելային,3,80,9,Նորմալ վիճակ,168000.0
Կենտրոն,Քարե,1,31,4,Պետական վիճակ,80000.0
Կենտրոն,Քարե,3,77,4,Նորմալ վիճակ,163000.0
Աջափնյակ,Քարե,2,48,4,Պետական վիճակ,66000.0
Մալաթիա Սեբաստիա,"Մոնոլիտ, Նորակառույց",2,53,3,Զրոյական վիճակ,98000.0
Արաբկիր,Քարե,1,31,4,Կապիտալ,80000.0
Արաբկիր,Պանելային,4,95,5,Պետական վիճակ,105000.0
Աջափնյակ,Պանելային,2,62,13,Կապիտալ,79000.0
Կենտրոն,Քարե,2,57,3,Պետական վիճակ,120000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",3,117,5,Կապիտալ,229000.0
Աջափնյակ,Մոնոլիտ,1,45,6,Կապիտալ,73000.0
Շենգավիթ,Քարե,3,78,3,Կապիտալ,104000.0
Էրեբունի,Քարե,4,80,1,Կապիտալ,110000.0
Մալաթիա Սեբաստիա,Պանելային,3,74,8,Պետական վիճակ,82000.0
Արաբկիր,Քարե,3,75,5,Կապիտալ,145000.0
Արաբկիր,Քարե,2,32,1,Կապիտալ,65000.0
Շենգավիթ,Քարե,5,113,5,Կոսմետիկ,134000.0
Շենգավիթ,Քարե,1,32,1,Կոսմետիկ,45000.0
Աջափնյակ,Քարե,2,65,1,Կապիտալ,159642.0
Շենգավիթ,Քարե,2,60,3,Կապիտալ,67000.0
Կենտրոն,Քարե,3,65,6,Նորմալ վիճակ,195000.0
Շենգավիթ,Քարե,2,33,2,Կապիտալ,60000.0
Մալաթիա Սեբաստիա,Պանելային,2,35,13,Կապիտալ,59000.0
Քանաքեռ Զեյթուն,Պանելային,1,32,1,Կապիտալ,42000.0
Քանաքեռ Զեյթուն,Պանելային,2,43,6,Կոսմետիկ,80000.0
Քանաքեռ Զեյթուն,Պանելային,1,32,1,Պետական վիճակ,42000.0
Էրեբունի,Կասետային,3,80,3,Կապիտալ,90000.0
Արաբկիր,Քարե,3,78,3,Կապիտալ,114000.0
Արաբկիր,Պանելային,1,40,6,Նորմալ վիճակ,98000.0
Էրեբունի,Պանելային,4,82,6,Նորմալ վիճակ,85000.0
Կենտրոն,Քարե,2,100,2,Դիզայներական,270000.0
