District,Building Type,Rooms,Area,Floor,Renovation,Price
10,8,3,50,1,2,64000.0
2,5,2,70,3,1,150000.0
6,6,3,100,7,5,115000.0
6,6,1,45,1,2,67000.0
11,3,2,52,4,4,68000.0
6,6,1,45,2,4,62000.0
5,6,3,80,9,4,168000.0
5,8,1,31,4,5,80000.0
5,8,3,77,4,4,163000.0
0,8,2,48,4,5,66000.0
6,5,2,53,3,1,98000.0
2,8,1,31,4,2,80000.0
2,6,4,95,5,5,105000.0
0,6,2,62,13,2,79000.0
5,8,2,57,3,5,120000.0
3,5,3,117,5,2,229000.0
0,4,1,45,6,2,73000.0
10,8,3,78,3,2,104000.0
4,8,4,80,1,2,110000.0
6,6,3,74,8,5,82000.0
2,8,3,75,5,2,145000.0
2,8,2,32,1,2,65000.0
10,8,5,113,5,3,134000.0
10,8,1,32,1,3,45000.0
0,8,2,65,1,2,159642.0
10,8,2,60,3,2,67000.0
5,8,3,65,6,4,195000.0
10,8,2,33,2,2,60000.0
6,6,2,35,13,2,59000.0
11,6,1,32,1,2,42000.0
11,6,2,43,6,3,80000.0
11,6,1,32,1,5,42000.0
4,3,3,80,3,2,90000.0
2,8,3,78,3,2,114000.0
2,6,1,40,6,4,98000.0
4,6,4,82,6,4,85000.0
5,8,2,100,2,0,270000.0
4,6,3,80,1,2,93000.0
2,6,1,40,6,2,98000.0
2,5,3,83,5,2,250000.0
2,5,3,75,2,2,210000.0
6,6,3,73,1,2,132000.0
2,5,3,80,13,2,197000.0
2,8,3,52,2,0,118000.0
5,5,3,80,3,2,200000.0
8,5,2,56,2,2,120000.0
7,6,2,43,8,2,67000.0
11,5,2,60,6,2,110000.0
5,8,1,30,2,2,115000.0
10,8,5,130,3,2,250000.0
2,8,2,70,3,3,145000.0
7,6,2,45,8,2,65000.0
5,6,3,74,6,4,250000.0
1,5,2,53,12,1,65257.0
2,6,3,86,2,2,125000.0
11,6,2,70,3,5,80000.0
2,4,2,55,8,2,124500.0
2,8,3,79,1,2,150000.0
1,5,3,71,9,1,99132.0
11,6,3,61,5,2,90000.0
11,6,2,53,9,4,82000.0
5,8,2,56,3,2,160000.0
1,5,2,53,11,1,64000.0
1,5,2,59,4,1,71159.0
7,8,3,95,5,3,90000.0
11,8,1,48,5,2,80000.0
0,5,1,46,1,2,67000.0
3,6,2,54,4,4,77000.0
7,6,2,50,2,4,64000.0
5,6,3,80,16,5,155000.0
5,6,4,105,11,2,260000.0
2,8,2,42,2,2,90000.0
7,8,2,58,1,4,73000.0
6,6,3,90,3,3,90000.0
3,6,2,52,14,2,68000.0
2,8,2,54,5,2,95000.0
1,5,2,56,13,1,74414.0
6,5,2,52,7,1,64372.0
2,8,2,57,4,5,91000.0
2,6,2,45,3,4,75000.0
11,3,2,50,2,2,75000.0
10,6,1,25,6,2,32000.0
5,8,3,68,5,4,175000.0
1,5,2,47,11,1,60000.0
7,6,2,67,1,2,80000.0
5,6,2,42,4,2,85000.0
5,6,3,101,12,5,255000.0
3,4,3,63,2,2,135000.0
3,4,3,75,11,2,109000.0
2,5,2,46,2,1,105000.0
0,8,2,35,5,0,61000.0
0,6,1,42,2,5,58000.0
3,6,4,92,8,4,110000.0
3,7,3,82,5,2,105000.0
5,5,2,65,4,2,270000.0
10,8,2,63,2,3,85000.0
6,6,2,47,4,0,85000.0
2,8,2,48,2,2,98000.0
3,6,2,67,2,2,97000.0
5,6,2,68,10,5,136000.0
5,6,2,73,9,5,160000.0
5,6,3,72,9,2,222000.0
11,6,2,50,4,5,75000.0
7,6,2,54,3,4,75000.0
2,8,2,68,4,4,125000.0
7,1,3,81,4,5,90000.0
5,5,3,78,6,1,160000.0
11,8,3,69,4,3,110000.0
5,8,3,130,1,2,220000.0
7,6,2,47,7,2,67000.0
2,8,3,70,4,0,132000.0
3,5,3,74,14,2,170000.0
2,8,3,72,2,0,153000.0
2,8,3,78,3,0,160000.0
2,6,3,76,6,2,139000.0
2,5,3,78,3,0,185000.0
7,5,2,53,1,1,88000.0
5,8,2,63,2,5,150000.0
10,8,3,75,1,4,112000.0
7,5,3,53,3,2,82000.0
2,5,2,43,15,2,101000.0
2,8,1,43,2,2,97000.0
5,4,2,80,2,2,136000.0
