Տարածաշրջան,Շինության տիպ,Սենյակներ,Մակերես,Հարկ,Վերանորոգում,Գինը
"Երևան, Շենգավիթ",Քարե,3,50,1,Կապիտալ,$64000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,70,3,Զրոյական վիճակ,$150000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,100,7,Պետական վիճակ,$115000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,1,45,1,Կապիտալ,$67000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,85,6,Պետական վիճակ,$386
"Երևան, Քանաքեռ Զեյթուն",Կասետային,2,52,4,Նորմալ վիճակ,$68000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,1,45,2,Նորմալ վիճակ,$62000
"Երևան, Կենտրոն",Պանելային,3,80,9,Նորմալ վիճակ,$168000
"Երևան, Կենտրոն",Քարե,1,31,4,Պետական վիճակ,$80000
"Երևան, Կենտրոն",Քարե,3,77,4,Նորմալ վիճակ,$163000
"Երևան, Աջափնյակ",Քարե,2,48,4,Պետական վիճակ,$66000
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",2,53,3,Զրոյական վիճակ,$98000
"Երևան, Արաբկիր",Քարե,1,31,4,Կապիտալ,$80000
"Երևան, Արաբկիր",Պանելային,4,95,5,Պետական վիճակ,$105000
"Երևան, Աջափնյակ",Պանելային,2,62,13,Կապիտալ,$79000
"Երևան, Կենտրոն",Քարե,2,57,3,Պետական վիճակ,$120000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",3,117,5,Կապիտալ,$229000
"Երևան, Աջափնյակ",Մոնոլիտ,1,45,6,Կապիտալ,$73000
"Երևան, Շենգավիթ",Քարե,3,78,3,Կապիտալ,$104000
"Երևան, Էրեբունի",Քարե,4,80,1,Կապիտալ,$110000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,74,8,Պետական վիճակ,$82000
"Երևան, Արաբկիր",Քարե,3,75,5,Կապիտալ,$145000
"Երևան, Արաբկիր",Քարե,2,32,1,Կապիտալ,$65000
"Երևան, Շենգավիթ",Քարե,5,113,5,Կոսմետիկ,$134000
"Երևան, Շենգավիթ",Քարե,1,32,1,Կոսմետիկ,$45000
"Երևան, Աջափնյակ",Քարե,2,65,1,Կապիտալ,$159642
"Երևան, Շենգավիթ",Քարե,2,60,3,Կապիտալ,$67000
"Երևան, Կենտրոն",Քարե,3,65,6,Նորմալ վիճակ,$195000
"Երևան, Շենգավիթ",Քարե,2,33,2,Կապիտալ,$60000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,2,35,13,Կապիտալ,$59000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,1,32,1,Կապիտալ,$42000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,2,43,6,Կոսմետիկ,$80000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,1,32,1,Պետական վիճակ,$42000
"Երևան, Էրեբունի",Կասետային,3,80,3,Կապիտալ,$90000
"Երևան, Արաբկիր",Քարե,3,78,3,Կապիտալ,$114000
"Երևան, Արաբկիր",Պանելային,1,40,6,Նորմալ վիճակ,$98000
"Երևան, Էրեբունի",Պանելային,4,82,6,Նորմալ վիճակ,$85000
"Երևան, Կենտրոն",Քարե,2,100,2,Դիզայներական,$270000
"Երևան, Էրեբունի",Պանելային,3,80,1,Կապիտալ,$93000
"Երևան, Արաբկիր",Պանելային,1,40,6,Կապիտալ,$98000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,83,5,Կապիտալ,$250000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,75,2,Կապիտալ,$210000
"Երևան, Կենտրոն",Քարե,3,77,5,Կապիտալ,$310000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,73,1,Կապիտալ,$132000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,80,13,Կապիտալ,$197000
"Երևան, Արաբկիր",Քարե,3,52,2,Դիզայներական,$118000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,80,3,Կապիտալ,$200000
"Երևան, Նորք Մարաշ","Մոնոլիտ, Նորակառույց",2,56,2,Կապիտալ,$120000
"Երևան, Կենտրոն",Քարե,3,115,3,Դիզայներական,պայմ.
"Երևան, Նոր Նորք",Պանելային,2,43,8,Կապիտալ,$67000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",2,60,6,Կապիտալ,$110000
"Երևան, Կենտրոն",Քարե,3,110,2,Նորմալ վիճակ,$300000
"Երևան, Կենտրոն",Քարե,1,30,2,Կապիտալ,$115000
"Երևան, Աջափնյակ",Քարե,6,121,1,Պետական վիճակ,$130000
"Երևան, Շենգավիթ",Քարե,5,130,3,Կապիտալ,$250000
"Երևան, Արաբկիր",Քարե,2,70,3,Կոսմետիկ,$145000
"Երևան, Նոր Նորք",Պանելային,2,45,8,Կապիտալ,$65000
"Երևան, Կենտրոն",Պանելային,3,74,6,Նորմալ վիճակ,$250000
